idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
3581,-114.31586,34.49413,0.52482,0.0,0.0,0.574,0.97244,0.36833,0.41216,0.77883,0.13294,0.97353,0.15208,0.57591,0.36466,0.33884
7138,-113.61477,34.7078,0.71657,0.96217,0.65948,0.49477,0.0,0.6212,0.45611,0.54772,0.3823,0.08574,0.87433,0.26907,0.5032,0.53781
8563,-114.48987,34.77176,0.42396,0.91637,0.77692,0.61317,0.54421,0.27379,0.77239,0.51984,0.71912,0.91133,0.88773,0.72908,0.66269,0.66588
10319,-114.15163,34.86497,0.71657,0.0,0.60653,0.49477,0.0,0.6212,0.45611,0.54772,0.3823,0.08574,0.4422,0.63734,0.47184,0.49841
11333,-114.59908,34.90638,0.42396,0.98533,0.59747,0.61317,0.54421,0.27379,0.77239,0.51984,0.71912,0.91133,0.68946,0.98743,0.57126,0.557
15361,-114.59668,35.10108,0.21625,0.99866,0.72142,0.61846,0.92715,0.61068,0.93008,0.54242,0.59715,0.76225,0.23737,0.98022,0.62834,0.6128
15661,-114.60592,35.11529,0.15304,0.0,0.98475,0.90591,0.95005,0.83791,0.96804,0.97448,0.60245,0.69118,0.23737,0.57489,0.65202,0.6317
15662,-114.59715,35.11548,0.21625,0.98724,0.81966,0.61846,0.92715,0.61068,0.93008,0.54242,0.59715,0.76225,0.23737,0.81456,0.67516,0.66063
16832,-114.5464,35.17427,0.27609,0.0,0.73195,0.8506,0.82425,0.08267,0.44775,0.5007,0.20828,0.63358,0.23737,0.65476,0.41978,0.39183
17022,-114.06392,35.191,0.185,0.9644,0.74745,0.98361,0.85079,0.80422,0.74681,0.2419,0.90757,0.93391,0.39187,0.58567,0.57801,0.55759
17026,-114.04636,35.19131,0.185,0.99994,0.67007,0.98361,0.85079,0.80422,0.74681,0.2419,0.90757,0.93391,0.52564,0.95324,0.61469,0.59426
17028,-114.03758,35.19146,0.185,0.0,0.63875,0.98361,0.85079,0.80422,0.74681,0.2419,0.90757,0.93391,0.77654,0.8721,0.59434,0.56248
17098,-114.52931,35.18906,0.27609,0.0,0.84875,0.8506,0.82425,0.08267,0.44775,0.5007,0.20828,0.63358,0.23737,0.67211,0.43038,0.4023
17127,-114.03777,35.19867,0.4815,0.97302,0.72416,0.92473,0.70783,0.15508,0.79497,0.45069,0.70031,0.60462,0.78081,0.99292,0.61031,0.59413
17129,-114.02899,35.19882,0.4815,0.97397,0.78732,0.92473,0.70783,0.15508,0.79497,0.45069,0.70031,0.60462,0.81054,0.97544,0.6232,0.60784
17431,-114.02058,35.21339,0.4815,0.0,0.97825,0.92473,0.70783,0.15508,0.79497,0.45069,0.70031,0.60462,0.81054,0.92772,0.56367,0.53405
17444,-114.31033,35.20801,0.92728,0.0,0.0,0.71817,0.47142,0.85755,0.63913,0.34588,0.62752,0.39302,0.6258,0.96976,0.49521,0.49671
17562,-114.01199,35.22075,0.54733,0.99445,0.7463,0.84224,0.56679,0.30965,0.36266,0.46951,0.57534,0.65374,0.78458,0.98992,0.59277,0.58897
17587,-114.2403,35.21658,0.92728,0.0,0.62675,0.71817,0.47142,0.85755,0.63913,0.34588,0.62752,0.39302,0.6258,0.7477,0.53633,0.53942
17722,-114.02974,35.22765,0.54733,0.97034,0.74215,0.84224,0.56679,0.30965,0.36266,0.46951,0.57534,0.65374,0.81054,0.98673,0.59262,0.58848
17879,-114.03871,35.2347,0.2426,0.98724,0.83778,0.75121,0.80378,0.82744,0.43729,0.31022,0.6147,0.70777,0.62854,0.7211,0.58807,0.58217
18420,-114.03067,35.26368,0.25836,0.0,0.92549,0.63211,0.88205,0.60507,0.20324,0.26512,0.90195,0.99445,0.77443,0.83899,0.54467,0.50921
20604,-113.85751,35.37474,0.71657,0.0,0.0,0.49477,0.0,0.6212,0.45611,0.54772,0.3823,0.08574,0.82891,0.88479,0.3128,0.31906
23689,-113.42014,35.52518,0.0,0.0,0.6228,1.0,0.69144,0.10105,0.0,0.92881,0.93079,0.95713,0.99968,0.77054,0.63203,0.61893
24829,-114.31218,35.56843,0.06749,0.0,0.67192,0.79931,0.72665,0.93563,0.86157,0.73073,0.95196,0.0,0.75102,0.51333,0.58582,0.57716
28362,-114.32597,35.73396,0.28445,0.0,0.0,0.13364,0.0,0.3927,0.03202,0.0,0.21664,0.46581,0.33433,0.13454,0.26487,0.29254
34157,-114.06805,36.00559,0.28445,0.0,0.80282,0.13364,0.0,0.3927,0.03202,0.0,0.21664,0.46581,0.28426,0.14411,0.36584,0.38805
50075,-114.03548,36.77029,0.62318,0.0,0.6406,0.22703,0.58861,0.1739,0.2537,0.80135,0.80856,0.77233,0.93953,0.37497,0.55208,0.54984
52634,-112.74648,36.89441,0.62318,0.0,0.0,0.22703,0.58861,0.1739,0.2537,0.80135,0.80856,0.77233,0.94641,0.29791,0.51413,0.51585
54855,-112.98112,36.98625,0.62318,0.0,0.99298,0.22703,0.58861,0.1739,0.2537,0.80135,0.80856,0.77233,0.98227,0.15757,0.53481,0.54202
