Unnamed: 0,county_code,name,address,lat,lon
1,25,,690 Bell Rock Blvd Sedona AZ 86351,34.78172,-111.77488
2,25,,16455 Tabletop Way Yarnell AZ 85362,34.22273,-112.74487
3,25,,202 N State Route 89 Chino Valley AZ 86323,34.74875,-112.4549
4,25,,10 S 6th St Cottonwood AZ 86326,34.73887,-112.02357
5,25,,2010 S Hwy 89 Chino Valley AZ 86323,34.71618,-112.45415
6,25,,1020 S Camino Real Cottonwood AZ 86326,34.72083,-112.00772
7,25,,1100 E Sheldon St Bldg 19 Prescott AZ 86301,34.54809,-112.45591
8,25,,3462 Smith Ave Camp Verde AZ 86322,34.62095,-111.89324
9,25,,6411 N Robert Rd Prescott Valley AZ 86314,34.63459,-112.31478
10,25,,39 N 9th St Clarkdale AZ 86324,34.77251,-112.0569
11,25,,54170 N Floyd St Seligman AZ 86337,35.32808,-112.87407
12,25,,2735 S. Highway 69 Humboldt AZ 86329,34.50306,-112.24384
13,25,,4250 E Zuni Way Rimrock AZ 86335,34.63164,-111.77695
14,25,,4125 W Outer Loop Rd Prescott AZ 86305,34.68978,-112.53834
15,25,,700 N Bill Gray Rd Cottonwood AZ 86326,34.74468,-111.97077
16,25,,121 Main St Bagdad AZ 86321,34.57519,-113.18148
17,25,,6245 E 2nd St Prescott Valley AZ 86314,34.57806,-112.3554
18,25,,110 Airport Rd Sedona AZ 86336,34.86106,-111.78164
19,25,,25605 Ghost Town Rd Congress AZ 85332,34.17796,-112.85675
20,25,,600 Clark St Jerome AZ 86331,34.7483,-112.11401
21,25,,102 Roadrunner Dr. Sedona AZ 86336,34.86277,-111.81375
22,25,,1280 E Rosser St Prescott AZ 86301,34.57441,-112.44525
23,25,,630 Park Ave Prescott AZ 86303,34.53213,-112.47953
24,25,,1524 N Hwy 89 Chino Valley AZ 86323,34.7678,-112.45387
25,25,,19055 E K-Mine Rd Black Canyon City AZ 85324,34.06467,-112.1508
26,25,,12900 E Prescott Dells Ranch Rd Dewey-Humboldt AZ 86327,34.51531,-112.23954
27,25,,3085 S Iron Springs Rd Skull Valley AZ 86338,34.50304,-112.68358
28,25,,450 W Lewis Ave Ash Fork AZ 86320,35.2252,-112.48572
29,25,,17320 E Mule Deer Dr Spring Valley AZ 86333,34.34728,-112.15752
30,25,,473 S. Main St. Camp Verde AZ 86322,34.56279,-111.85346
31,25,,130 N Black Bridge Loop Rd Camp Verde AZ 86322,34.571,-111.85483
32,25,,20172 E Pinto Dr Cordes Lakes AZ 86333,34.31412,-112.10893
